flux_idx,index,lon,lat,iflux,qflux,uflux,pflux,norm_true,fit_norm_arr,norm_error,fit_error,chi2dof,num_ps
2189,9733,2.976955925180019,1.4547152924367677,336.2231042761404,0.4665871851610095,-31.026786940468465,31.030295059031925,0.0008188096673689273,0.0008153290225861518,3.3121645645172305e-06,0.004250859413958581,1.0341715058860608,1.0
2207,9735,2.3172893180116665,1.1820318467830335,333.4726916735104,1.6160510587980526,1.341974195881377,2.1005989067534467,0.0008121115422262923,0.0008123360547044133,3.2505752237837506e-06,0.0002764552237559733,1.003828629397542,0.0
2227,9827,0.6029969505865655,1.1294729727812989,330.70740011205794,11.37515791164371,-7.514153208226144,13.632927636847697,0.0008053771821100067,0.0008043449453710976,3.2537836341700772e-06,0.001281681132565372,0.9605887701329198,0.0
2250,9635,3.0702415909314187,0.978509377322622,328.1539134357201,-6.850039217006072,16.634130383749394,17.989367162246033,0.0007991586339213433,0.0007977507365327344,3.2505789489546927e-06,0.0017617245548615958,1.079630171567171,0.0
2274,9765,1.5180457038801425,1.4103549507826931,325.7830123762047,-15.799655530404891,-14.322353962706757,21.32507767658809,0.0007933847394946472,0.0007926877787888456,3.2892483020800843e-06,0.0008784649755748136,0.9605756260505368,1.0
2327,9623,3.3586311122622488,0.9597250729054329,316.8132437610313,-4.321825650446162,3.9672088295909176,5.866593803088683,0.0007715405141491626,0.0007740135579847938,3.2559730063572026e-06,0.0032053324359232497,0.9949825900314547,0.0
2332,9673,2.904737438229549,1.1106578388835244,316.478312298326,2.163297599090936,-6.819688803055624,7.154579783100811,0.0007707248500377996,0.0007725340127739533,3.285489388089196e-06,0.002347352282808842,1.0200723297915633,1.0
2336,9691,2.357139046011224,0.8950051824356556,316.1529610620193,-5.541152778432922,4.449859805392646,7.10673106298416,0.0007699325168096835,0.0007712368870318625,3.2473941428061252e-06,0.0016941357764494046,1.023646736612178,0.0
2356,9795,1.3974089040878228,1.2351288731773906,312.3798535729592,3.804850584919216,-8.441795133521058,9.259632446803703,0.0007607438059543844,0.0007629750527669493,3.248441326876323e-06,0.0029329805843974774,1.0521487983404505,0.0
2359,9627,2.889265732722865,0.9203041186631432,312.2569989863884,8.926144089713139,2.9532028784936784,9.401992105498929,0.0007604446161548573,0.0007611024923019305,3.254880058953778e-06,0.0008651203954861862,0.9584243544530706,0.0
