second_fit_index,flux_idx,index,lon,lat,iflux,qflux,uflux,pflux,num_ps,chi2dof,true_q,fit_q,fit_q_err,true_u,fit_u,fit_u_err,fit_p,fit_p_err
21,857,9643,2.579313877170057,0.8568432171980903,532.0,-13.26784167853596,18.670832121601286,22.90492512364348,0.0,1.0275896500878,-240.7472292368267,-218.79662624383843,79.8391799989312,338.78540381538886,348.137647540419,79.831793609745,411.1833961757976,79.83388510407867
22,895,9765,1.5180457038801425,1.4103549507826931,336.0,-16.29515369599975,-14.77152199057069,21.99386041362834,0.0,1.0464839990101402,-295.67831734430683,-429.6473621825032,79.71837781294968,-268.03176258831854,-167.07019628536162,79.83161805009023,460.9873168723976,79.7332607482223
23,957,9667,3.562590879379344,1.164137224418048,369.0,20.695554966029672,0.5967243424716742,20.7041559908356,1.0,1.0145169432448278,375.5243419621416,356.40273248660185,84.72532802950272,10.827664027724134,8.024955140336449,84.73380261134189,356.4930681358625,84.72533232410582
24,959,9837,1.41617280777493,1.0022260386211457,475.0,-6.217405406553356,19.7166426656048,20.673706198758524,0.0,1.0055038200593247,-112.81587170965952,-157.56805449644853,79.8470173898978,357.7618128558144,310.9158883855091,79.86394826332733,348.56331053102264,79.8604887442112
26,975,9697,3.69187971629383,1.3237846097408774,420.0,4.006347345209633,20.05875867535906,20.45494117925448,0.0,0.9847806955730064,72.69584956533528,57.8514798346698,79.78565798509322,363.96956566305056,461.58790885005055,79.77883042300331,465.19908782759217,79.77893601601832
27,978,9754,2.0934108941683864,1.0341350558700115,601.0,20.3456549401816,-1.4979966611801714,20.40072716698704,1.0,0.9964222324336118,369.1753468675519,397.0825320907701,81.92442760783652,-27.181402546321188,-67.73104387779392,80.28709140245189,402.81761579701686,81.87858637416865
28,995,9807,1.516067224006115,1.1266124035913023,797.0,-18.78912557643789,6.976981350148767,20.042692151691504,0.0,1.0114561455190776,-340.93185854244786,-320.44782947359613,79.77177551656888,126.59850555819077,99.59993225942232,79.73145315549218,335.5696021996338,79.7682241238006
29,1012,9624,3.3208855676583013,0.9697501773412222,630.0,1.5944562929477468,19.63103177345138,19.695677174455778,2.0,0.991277659804844,28.931678864346324,26.08700363806327,83.265283999596,356.20838875129164,250.64049380505529,81.31218473410661,251.9944223463176,81.33336439747508
30,1043,9894,1.5121215616582708,0.7046752451648378,1750.0,4.819996579698421,-18.443927085160933,19.063336889197483,0.0,0.9827295583281668,87.45965241434963,35.31569951366538,79.8222245349649,-334.66817358710927,-334.99040960820025,79.85985428061913,336.84680963549187,79.85944075651912
31,1046,9663,2.4806640236898354,0.8751090696129726,693.0,-6.300089068984256,-17.947136410829557,19.02079986819847,1.0,1.0126675386586712,-114.31618073622823,26.646062664693183,82.94028174514916,-325.6538228544308,-463.0733437829743,87.55998809331342,463.8393411278042,87.54514339091594
32,1049,9817,1.6746552690597485,1.005548043372414,716.0,-16.811426761983796,-8.86464641013284,19.005420956932948,1.0,1.0101006684824343,-305.04617936562806,-333.4177448128481,81.19873947746757,-160.85050704638456,-259.96668929187183,80.471234877119,422.7884483964317,80.92444999475707
33,1062,9690,3.044310381078064,1.2181332433948224,769.0,-6.706284825361228,17.63404692158575,18.86620966149688,0.0,0.9949411816688388,-121.6866713740321,-202.5052461107585,79.73617598208907,319.9727611667141,294.61777814875046,79.66884728951925,357.5024613952822,79.69045651718181
35,1098,9773,1.1323911762048722,1.4027544128059766,518.0,15.708782339620477,9.733255237047045,18.47977543432484,3.0,0.9500797101928532,285.0385099986612,275.07195563399256,84.61919061838736,176.61156098694684,77.96803694254042,87.60028720875523,285.9083691691842,84.84449059296327
36,1129,9710,3.591178050861697,1.3999536071547776,457.0,7.80698722919351,16.16651902857117,17.952865707121642,0.0,0.9949388692207728,141.65910248659395,167.8860901794805,79.79542303334095,293.34421956732393,172.58745705730976,79.77143424172795,240.7741049391761,79.78309835674378
37,1134,9743,2.303283456026622,1.3811392211255948,758.0,17.83643477045713,1.786463179432757,17.92567588718041,0.0,0.9971871777307694,323.6451228836776,390.00204864153983,79.78651546550341,32.4156762646497,135.9788417570015,79.77843297843403,413.0276544617487,79.7856394539823
38,1140,9706,3.480179657101685,1.367919153261963,1461.0,-17.850885238925184,0.5678869355460727,17.859915996018596,0.0,0.9430643331432828,-323.9073290758486,-261.52604337615287,79.78790009641709,10.30440440615775,165.43424715875443,79.74240235406117,309.4581740671415,79.77489994806483
39,1155,9840,1.0759291800955066,1.0452904194257904,974.0,17.47838703058467,-2.707420661832482,17.686835212412305,1.0,1.0406855271448114,317.14828614132693,231.51636672073872,80.01408178251309,-49.12660540479323,-127.20869491847505,79.99200183402883,264.1626016725934,80.00896210092141
40,1166,9826,0.9151916627006884,1.1429462673679935,331.0,-17.41228579467641,-2.0806150567259047,17.536152816674598,0.0,0.9986787510292988,-315.94886804608484,-367.85828395461846,79.68869861316321,-37.753111783472576,-84.86232946323629,79.75433894839296,377.5199756780608,79.69201672181835
41,1170,9792,1.5480677625808226,1.1966494253321391,430.0,17.389406740171314,1.7507448464036242,17.477315992231883,0.0,1.0258728297917794,315.5337237360219,368.9999195416572,79.682432984392,31.76756107620627,56.1794682959038,79.60386086767882,373.25202381200825,79.68065384476034
42,1189,9782,1.9917383068021592,0.9219868337305503,419.0,-13.84059835372281,-10.246469193349498,17.220693764170328,0.0,1.0105874648035402,-251.1399958916476,-313.2637664016008,79.7270967115207,-185.92391494617183,-185.5099931091789,79.73414695936377,364.0716205411846,79.7289272529622
43,1191,9635,3.0702415909314187,0.978509377322622,314.0,-6.5545837671725184,15.91666814456696,17.21345093771595,1.0,0.9588176429967852,-118.93403003898293,-158.33381541826054,84.05146061840765,288.81063305764354,238.90233577885147,84.08075377231697,286.6076118066212,84.07181484359364
